Long;Lati
134.91124149999999;48.540500199999997
134.9584447;47.908512100000003
135.45644050000001;48.477283499999999
137.05516460000001;50.558702799999999
136.9275792;50.698086000000004
132.7848085;51.077232299999999
135.0948301;48.210892299999998
131.8964364;49.013897900000003
136.87267510000001;50.509680699999997
135.70205100000001;51.683416100000002
134.63442570000001;51.120077600000002
131.6452424;49.201328500000002
131.09282200000001;48.991602399999998
131.52848979999999;51.525201899999999
133.78265999999999;48.583177900000003
136.9663271;50.560743000000002
133.56861069999999;50.655294599999998
135.2108;49.20027
139.11370830000001;50.093625699999997
140.25606450000001;49.110155599999999
137.52645709999999;50.370829200000003
132.9029946;48.813478400000001
135.0989069;48.5231444
136.67219610000001;51.183374800000003
138.45541589999999;50.342797400000002
135.08837460000001;48.209839100000003
134.50334119999999;47.2758112
135.34133499999999;48.563873000000001
135.0832068;48.555263699999998
135.11297399999901;48.468975780852098
